


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 26

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
131072                115.42             54.23            172.34         100            114.16            125.23            131.33
262144                221.49            106.93            338.80         100            218.68            242.75            247.60
524288                443.27            218.13            674.24         100            443.92            473.47            475.30
1048576               488.90            440.38            535.40         100            485.43            516.64            548.20

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.06              0.53              2.10        1000              1.04              1.20              1.40
2                       1.07              0.65              2.10        1000              1.05              1.21              1.78
4                       1.03              0.58              2.05        1000              1.02              1.19              1.36
8                       1.03              0.58              2.05        1000              1.01              1.15              1.57
16                      1.04              0.54              2.08        1000              1.00              1.16              1.47
32                      1.45              0.81              2.70        1000              1.44              1.70              1.95
64                      1.37              0.73              2.52        1000              1.34              1.53              1.89
128                     2.24              1.33              3.96        1000              2.19              2.45              3.52
256                     2.32              1.30              3.99        1000              2.28              2.47              3.11
512                     2.57              1.54              4.32        1000              2.53              2.72              3.45
1024                    3.31              1.94              5.26        1000              3.27              3.54              4.38
2048                    4.54              2.72              6.98        1000              4.49              4.74              5.93
4096                    6.46              2.91             10.03        1000              6.43              6.91              7.90
8192                   10.13              5.75             15.20        1000             10.08             10.52             13.13
16384                  20.74             10.55             31.06         100             20.48             23.41             24.60
32768                  34.52             18.04             52.00         100             34.27             37.99             40.35
65536                  65.50             32.34             96.73         100             65.38             71.39             73.92
131072                127.06             61.20            184.36         100            127.09            133.76            137.62
262144                242.93            115.10            348.24         100            243.26            251.41            254.64
524288                482.40            234.08            693.91         100            481.89            497.79            503.34
1048576               492.29            443.16            538.93         100            487.70            521.78            548.97


Procs: 30

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.06              0.50              3.72        1000              1.04              1.21              1.39
2                       1.09              0.49              3.75        1000              1.04              1.18              1.33
4                       1.07              0.50              3.74        1000              1.05              1.21              1.30
8                       1.06              0.47              3.74        1000              1.05              1.20              1.39
16                      1.05              0.46              3.71        1000              1.04              1.19              1.34
32                      1.44              0.79              4.08        1000              1.42              1.70              1.88
64                      1.48              0.73              4.04        1000              1.44              1.64              1.80
128                     2.18              1.24              5.09        1000              2.12              2.47              3.44
256                     2.33              1.33              5.11        1000              2.29              2.55              3.76
512                     2.56              1.46              5.43        1000              2.52              2.77              3.60
1024                    3.23              2.00              6.12        1000              3.20              3.44              4.41
2048                    4.39              2.74              7.24        1000              4.37              4.61              5.51
4096                    6.48              2.87             10.44        1000              6.46              6.90              8.47
8192                   10.18              5.58             15.87        1000             10.17             10.61             11.02
16384                  20.33              9.72             31.11         100             20.08             22.53             23.95
32768                  37.33             18.82             56.05         100             37.29             42.58             43.03
65536                  67.09             32.97             98.67         100             67.76             73.80             75.85
131072                129.81             62.37            185.01         100            130.09            135.89            142.17
262144                250.30            121.56            351.38         100            249.90            259.94            261.06
524288                488.04            237.21            689.62         100            486.97            502.94            507.06
