
Algorithm: 1

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.62              0.21              1.67        1000              0.61              0.84              0.97
4                       0.64              0.25              1.66        1000              0.61              0.84              1.00
8                       0.62              0.21              1.64        1000              0.60              0.83              0.97
16                      0.63              0.21              1.63        1000              0.60              0.86              0.96
32                      0.67              0.18              1.89        1000              0.65              0.88              0.98
64                      0.63              0.18              1.70        1000              0.61              0.83              0.96
128                     0.89              0.28              2.68        1000              0.85              1.20              1.74
256                     0.88              0.26              2.67        1000              0.85              1.06              1.28
512                     0.92              0.28              2.91        1000              0.89              1.11              1.37
1024                    1.04              0.30              3.55        1000              1.01              1.24              1.77
2048                    1.31              0.42              4.75        1000              1.28              1.50              2.14
4096                    1.80              0.54              6.60        1000              1.77              2.02              2.73
8192                    2.83              0.81             10.33        1000              2.80              3.13              3.72
16384                   5.73              2.05             18.30         100              5.56              6.85              7.81
32768                  10.77              4.26             31.33         100             10.64             11.95             13.08
65536                  19.90              8.24             55.60         100             19.78             20.99             22.39
131072                 36.85             15.77            105.12         100             36.55             38.99             40.97
262144                 98.23             26.07            163.47         100             97.62            101.73            103.28
524288                231.33             54.16            408.79         100            230.07            234.70            236.69
1048576               536.58            122.83            974.31         100            534.67            544.19            544.56

Test: 4
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.72              0.28              1.83        1000              0.70              0.99              1.12
2                       0.71              0.27              1.79        1000              0.69              0.94              1.11
4                       0.71              0.27              1.76        1000              0.67              0.96              1.07
8                       0.70              0.26              1.77        1000              0.67              0.93              1.04
16                      0.68              0.25              1.70        1000              0.66              0.90              1.06
32                      0.72              0.26              1.95        1000              0.70              0.97              1.09
64                      0.69              0.24              1.81        1000              0.67              0.92              1.08
128                     0.92              0.35              2.75        1000              0.87              1.25              1.89
256                     0.90              0.33              2.74        1000              0.88              1.12              1.31
512                     0.92              0.33              2.91        1000              0.90              1.13              1.71
1024                    1.04              0.35              3.57        1000              1.01              1.23              1.84
2048                    1.29              0.44              4.72        1000              1.26              1.48              2.09
4096                    1.80              0.58              6.63        1000              1.76              2.03              3.06
8192                    2.81              0.81             10.27        1000              2.79              3.10              3.55
16384                   5.83              2.13             18.29         100              5.66              6.64              8.52
32768                  10.92              4.43             31.37         100             10.72             12.22             12.62
65536                  20.30              8.42             56.30         100             20.13             21.87             23.32
131072                 37.52             15.85            107.10         100             37.29             39.46             41.02
262144                 99.17             26.43            165.63         100             99.01            101.01            101.28
524288                236.04             54.69            418.59         100            235.06            239.18            241.15
1048576               552.75            126.32           1002.37         100            552.43            554.96            556.28

Test: 5
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.71              0.27              1.76        1000              0.67              0.97              1.11
2                       0.68              0.28              1.71        1000              0.65              0.94              1.11
4                       0.70              0.28              1.75        1000              0.68              0.97              1.13
8                       0.70              0.27              1.78        1000              0.68              0.96              1.13
16                      0.68              0.27              1.69        1000              0.65              0.93              1.11
32                      0.73              0.27              1.97        1000              0.70              0.99              1.16
64                      0.68              0.25              1.81        1000              0.65              0.92              1.05
128                     0.93              0.35              2.83        1000              0.87              1.27              2.06
256                     0.91              0.33              2.80        1000              0.87              1.14              1.54
512                     0.94              0.32              2.99        1000              0.90              1.20              1.66
1024                    1.04              0.35              3.58        1000              1.02              1.25              1.52
2048                    1.31              0.46              4.81        1000              1.29              1.49              1.96
4096                    1.81              0.57              6.68        1000              1.78              2.06              2.58
8192                    2.87              0.86             10.48        1000              2.85              3.16              3.64
16384                   5.90              2.17             18.60         100              5.70              7.07              7.69
32768                  10.96              4.52             31.50         100             10.78             12.38             13.03
65536                  20.37              8.89             56.52         100             20.17             21.70             22.49
131072                 37.63             16.30            106.98         100             37.45             39.72             42.07
262144                101.52             26.80            168.39         100            100.89            105.84            108.75
524288                239.40             54.23            422.56         100            238.52            243.34            245.58
1048576               543.24            123.91            989.35         100            543.09            545.48            546.58

Procs: 8

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.66              0.29              2.17        1000              0.62              0.87              1.02
2                       0.61              0.29              1.96        1000              0.59              0.83              0.97
4                       0.60              0.29              1.95        1000              0.58              0.84              0.93
8                       0.60              0.29              1.93        1000              0.58              0.83              0.97
16                      0.59              0.29              1.87        1000              0.57              0.82              0.96
32                      0.67              0.30              2.32        1000              0.65              0.92              1.09
64                      0.62              0.29              2.02        1000              0.60              0.88              1.04
128                     0.95              0.44              3.69        1000              0.91              1.33              1.62
256                     0.95              0.41              3.78        1000              0.92              1.19              1.45
512                     1.01              0.43              4.20        1000              0.98              1.26              1.67
1024                    1.16              0.48              5.15        1000              1.13              1.42              1.87
2048                    1.45              0.65              6.58        1000              1.41              1.71              2.27
4096                    2.03              0.81              9.02        1000              1.99              2.39              2.75
8192                    3.26              1.09             14.38        1000              3.25              3.56              3.86
16384                   6.85              2.45             25.95         100              6.65              7.86             10.97
32768                  12.97              5.00             46.38         100             12.80             14.43             16.12
65536                  24.14              9.73             85.59         100             23.88             26.58             27.74
131072                 47.58             18.81            166.51         100             47.25             50.35             53.64
262144                133.52             25.54            232.34         100            132.75            137.67            140.94
524288                315.96             53.48            571.16         100            315.43            319.65            320.81
1048576               771.27            139.47           1426.66         100            770.83            778.70            782.68

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.64              0.18              1.92        1000              0.61              0.90              1.02
2                       0.64              0.20              1.98        1000              0.60              0.87              1.04
4                       0.62              0.18              1.91        1000              0.60              0.86              0.98
8                       0.64              0.18              1.98        1000              0.60              0.85              0.96
16                      0.64              0.17              1.93        1000              0.60              0.89              1.14
32                      0.69              0.19              2.39        1000              0.66              0.93              1.12
64                      0.66              0.19              2.17        1000              0.64              0.91              1.13
128                     1.00              0.35              3.81        1000              0.94              1.39              1.98
256                     1.01              0.35              3.93        1000              0.97              1.23              1.79
512                     1.05              0.39              4.21        1000              1.02              1.32              1.64
1024                    1.19              0.40              5.18        1000              1.15              1.49              1.93
2048                    1.47              0.58              6.60        1000              1.44              1.69              2.03
4096                    2.06              0.78              9.19        1000              2.03              2.40              2.91
8192                    3.24              1.07             14.47        1000              3.21              3.59              3.88
16384                   6.74              2.37             26.08         100              6.58              7.54              8.04
32768                  12.80              4.87             46.90         100             12.66             14.22             15.34
65536                  23.84              9.26             86.74         100             23.55             25.78             27.09
131072                 47.75             18.04            170.43         100             47.50             50.49             52.57
262144                138.84             27.11            241.09         100            137.64            142.95            144.90
524288                334.42             55.86            608.05         100            334.27            337.12            337.98
1048576               792.90            133.27           1468.95         100            789.55            807.48            827.44

Test: 3
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.75              0.26              2.26        1000              0.73              0.99              1.16
2                       0.75              0.27              2.20        1000              0.72              1.01              1.19
4                       0.75              0.26              2.25        1000              0.73              1.00              1.17
8                       0.74              0.27              2.20        1000              0.71              0.99              1.21
16                      0.71              0.27              2.12        1000              0.70              0.98              1.15
32                      0.77              0.29              2.55        1000              0.75              1.03              1.27
64                      0.73              0.29              2.31        1000              0.71              1.01              1.23
128                     1.07              0.44              3.91        1000              1.02              1.55              2.10
256                     1.06              0.45              3.88        1000              1.04              1.34              1.66
512                     1.09              0.44              4.25        1000              1.06              1.36              1.89
1024                    1.23              0.47              5.22        1000              1.20              1.52              1.80
2048                    1.49              0.57              6.61        1000              1.46              1.76              2.16
4096                    2.10              0.83              9.16        1000              2.06              2.44              2.89
8192                    3.32              1.12             14.51        1000              3.30              3.63              3.88
16384                   6.84              2.32             26.42         100              6.73              7.71              8.84
32768                  12.88              4.88             46.96         100             12.66             14.23             15.35
65536                  24.15              9.55             86.61         100             23.92             26.60             27.62
131072                 48.21             19.70            167.71         100             47.86             51.77             52.64
262144                134.53             25.88            233.78         100            134.11            137.68            139.06
524288                318.21             53.48            576.03         100            317.73            321.01            323.16
