Operation: bcast  , Node: THIN


--------------------------------------------
Algorithm: 0
--------------------------------------------


**Mapping: core**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
32                      0.53              0.13              0.92       10000              0.44              0.78              0.82
64                      0.51              0.14              0.87       10000              0.44              0.75              0.84
128                     0.77              0.28              1.25       10000              0.73              0.91              0.99
256                     0.81              0.30              1.32       10000              0.79              1.00              1.13
512                     0.89              0.31              1.47       10000              0.87              1.10              1.30
1024                    1.06              0.47              1.64       10000              1.02              1.30              1.43
2048                    1.33              0.46              2.21       10000              1.33              1.52              1.69
4096                    2.02              1.07              2.97       10000              2.01              2.34              2.47
8192                    3.31              1.92              4.70       10000              3.29              3.59              3.80
16384                   3.60              3.45              3.75       10000              3.54              4.04              4.25
32768                   5.83              5.57              6.10       10000              5.75              6.24              6.46
65536                   7.27              7.02              7.52       10000              7.22              7.67              8.01
131072                 10.78             10.46             11.11       10000             10.54             11.10             13.34
262144                 16.21             16.05             16.38       10000             16.17             16.71             19.36
524288                 29.55             29.41             29.70       10000             29.43             30.14             33.01
1048576                61.59             61.44             61.74       10000             61.31             64.91             65.78


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.13              0.61       30000              0.34              0.50              0.56
2                       0.36              0.12              0.60       30000              0.33              0.50              0.56
4                       0.37              0.13              0.61       30000              0.34              0.50              0.56
8                       0.36              0.12              0.60       30000              0.33              0.50              0.56
16                      0.37              0.13              0.61       30000              0.34              0.50              0.57
32                      0.51              0.12              0.90       30000              0.43              0.76              0.81
64                      0.48              0.14              0.83       30000              0.42              0.73              0.83
128                     0.75              0.26              1.24       30000              0.73              0.91              1.01
256                     0.82              0.32              1.33       30000              0.79              1.07              1.19
512                     0.88              0.31              1.46       30000              0.85              1.13              1.30
1024                    1.05              0.47              1.62       30000              1.02              1.28              1.41
2048                    1.34              0.47              2.22       30000              1.31              1.59              1.78
4096                    2.24              1.46              3.01       30000              2.22              2.58              2.77
8192                    3.55              2.50              4.59       30000              3.51              3.85              4.10
16384                   3.69              3.54              3.84       30000              3.74              4.19              4.41
32768                   5.94              5.70              6.17       30000              5.81              6.34              6.93
65536                   7.36              7.13              7.60       30000              7.26              7.82              8.14
131072                 10.35             10.12             10.59       30000             10.24             10.81             13.14
262144                 15.78             15.53             16.03       30000             15.69             16.47             19.45
524288                 29.54             29.43             29.65       30000             29.36             30.14             33.53
1048576                61.72             61.60             61.84       30000             61.28             65.63             66.66


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.39              0.14              0.64      100000              0.36              0.52              0.55
2                       0.37              0.12              0.62      100000              0.34              0.49              0.55
4                       0.38              0.13              0.63      100000              0.36              0.52              0.56
8                       0.38              0.13              0.62      100000              0.35              0.50              0.56
16                      0.37              0.12              0.63      100000              0.34              0.50              0.62
32                      0.58              0.16              0.99      100000              0.46              0.88              0.99
64                      0.51              0.14              0.88      100000              0.47              0.66              0.78
128                     0.76              0.27              1.24      100000              0.73              0.98              1.07
256                     0.81              0.30              1.31      100000              0.78              1.04              1.14
512                     0.89              0.31              1.47      100000              0.86              1.15              1.34
1024                    1.04              0.45              1.62      100000              1.01              1.29              1.41
2048                    1.30              0.44              2.15      100000              1.28              1.62              1.80
4096                    2.24              1.45              3.02      100000              2.24              2.57              2.76
8192                    3.49              2.44              4.53      100000              3.47              3.81              4.05
16384                   3.52              3.35              3.69      100000              3.42              4.09              4.24
32768                   5.81              5.55              6.06      100000              5.73              6.19              6.52
65536                   7.15              6.88              7.42      100000              7.06              7.62              8.00
131072                 10.01              9.73             10.28      100000              9.91             10.58             12.46
262144                 15.31             15.03             15.59      100000             15.13             16.65             18.80
524288                 28.73             28.57             28.90      100000             28.57             29.78             32.84
1048576                63.23             63.05             63.41      100000             62.90             66.88             67.93


Procs: 4


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.58              0.34              0.80       10000              0.57              0.70              0.76
2                       0.58              0.34              0.81       10000              0.58              0.69              0.75
