
Algorithm: 3

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
524288                266.88            117.92            344.18         100            266.15            273.79            274.59
1048576               522.63            228.23            675.07         100            522.87            527.16            528.22

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.18              0.31              1.73        1000              1.16              1.36              1.46
2                       1.19              0.31              1.75        1000              1.16              1.33              1.44
4                       1.15              0.31              1.66        1000              1.11              1.30              1.45
8                       1.12              0.28              1.64        1000              1.08              1.24              1.36
16                      1.07              0.27              1.59        1000              1.03              1.17              1.52
32                      1.34              0.25              2.15        1000              1.27              1.74              2.04
64                      1.32              0.26              2.15        1000              1.29              1.58              1.72
128                     2.06              0.39              3.45        1000              2.01              2.30              2.57
256                     2.03              0.40              3.34        1000              1.99              2.27              2.46
512                     2.32              0.40              3.97        1000              2.27              2.57              2.82
1024                    2.72              0.58              4.49        1000              2.68              3.02              3.34
2048                    3.65              0.58              6.22        1000              3.61              3.94              4.93
4096                    5.03              1.20              8.27        1000              4.96              5.39              7.17
8192                    8.30              1.97             13.49        1000              8.27              8.70              9.53
16384                  16.26              7.24             21.46         100             15.92             18.03             20.31
32768                  27.69             12.50             36.21         100             27.39             28.61             33.93
65536                  43.65             19.58             57.01         100             43.48             45.00             49.34
131072                 76.70             34.64             99.60         100             76.21             80.70             83.44
262144                143.04             63.96            185.53         100            142.32            147.67            149.64
524288                272.69            120.60            354.13         100            271.53            277.65            284.58
1048576               511.64            212.14            672.44         100            511.37            516.82            517.87

Procs: 6

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.37              0.34              3.62        1000              2.29              2.53              3.49
2                       2.29              0.35              3.50        1000              2.20              2.54              2.88
4                       2.15              0.32              3.23        1000              2.07              2.33              3.28
8                       1.97              0.28              2.97        1000              1.93              2.14              2.36
16                      1.89              0.27              2.84        1000              1.84              2.01              2.50
32                      2.62              0.31              4.31        1000              2.50              3.23              6.36
64                      2.32              0.26              3.91        1000              2.26              2.64              3.53
128                     3.40              0.38              5.82        1000              3.34              3.63              4.72
256                     3.40              0.39              5.83        1000              3.34              3.67              5.98
512                     3.81              0.37              6.67        1000              3.74              4.13              6.89
1024                    4.34              0.54              7.42        1000              4.28              4.70              5.81
2048                    5.85              0.63             10.25        1000              5.83              6.28              6.77
4096                    8.08              1.13             13.85        1000              8.05              8.56              9.14
8192                   13.24              2.02             22.76        1000             13.20             13.79             16.85
16384                  25.45              7.24             37.36         100             25.35             26.99             28.30
32768                  41.49             11.51             60.85         100             41.36             43.55             45.05
65536                  70.44             19.51            103.43         100             70.08             72.78             75.70
131072                132.97             37.91            193.48         100            132.38            137.02            139.66
262144                255.29             72.21            371.23         100            254.62            261.22            264.23
524288                493.01            131.36            723.06         100            492.01            501.37            505.34
1048576               945.39            261.47           1382.72         100            946.28            962.62            968.13

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.36              0.34              3.59        1000              2.24              2.51              3.05
2                       2.29              0.33              3.47        1000              2.15              2.41              3.78
4                       2.11              0.32              3.19        1000              2.02              2.23              2.96
8                       1.98              0.30              2.99        1000              1.92              2.12              2.79
16                      1.90              0.29              2.86        1000              1.82              2.03              3.57
32                      2.68              0.27              4.43        1000              2.63              3.21              5.25
64                      2.28              0.26              3.79        1000              2.21              2.57              2.83
128                     3.42              0.41              5.86        1000              3.34              3.69              5.68
256                     3.42              0.39              5.84        1000              3.34              3.70              5.79
512                     3.81              0.39              6.63        1000              3.73              4.12              6.42
1024                    4.39              0.57              7.50        1000              4.31              4.78              7.16
2048                    5.85              0.64             10.24        1000              5.81              6.26              7.46
4096                    8.01              1.22             13.74        1000              7.96              8.46              9.98
8192                   13.15              1.97             22.65        1000             13.12             13.66             16.08
16384                  24.89              7.02             36.70         100             24.77             25.98             27.42
32768                  41.25             11.68             60.33         100             41.14             42.69             45.05
65536                  71.51             19.88            104.93         100             71.15             74.10             75.22
131072                133.87             38.12            194.42         100            133.29            138.33            139.40
262144                256.25             71.58            371.92         100            255.81            260.93            263.42
524288                494.46            131.83            722.23         100            493.62            502.40            504.02
1048576               944.27            263.15           1371.94         100            945.17            959.56            967.21

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.34              0.36              3.55        1000              2.26              2.50              3.83
2                       2.26              0.33              3.58        1000              2.18              2.49              2.93
4                       2.11              0.31              3.21        1000              2.03              2.24              4.58
8                       1.96              0.29              3.01        1000              1.91              2.16              2.41
16                      1.88              0.29              2.86        1000              1.82              2.01              3.41
32                      2.64              0.28              4.60        1000              2.60              3.24              4.25
64                      2.28              0.24              3.82        1000              2.20              2.56              3.31
128                     3.39              0.38              5.86        1000              3.31              3.62              5.84
256                     3.40              0.40              5.87        1000              3.34              3.69              5.09
512                     3.82              0.39              6.70        1000              3.74              4.11              6.44
1024                    4.39              0.56              7.52        1000              4.30              4.77              6.34
2048                    5.84              0.64             10.26        1000              5.81              6.25              6.65
4096                    8.05              1.13             13.96        1000              8.00              8.51              9.64
8192                   13.06              1.97             22.46        1000             13.04             13.57             15.36
16384                  25.45              6.94             37.83         100             25.35             26.44             28.74
32768                  41.70             11.50             61.25         100             41.59             43.03             44.88
65536                  71.35             19.56            104.92         100             71.00             74.84             76.07
131072                135.02             37.57            197.74         100            134.59            138.70            139.26
262144                256.43             68.80            376.94         100            255.45            261.41            267.68
524288                497.41            130.35            732.48         100            496.75            503.69            508.19
1048576               950.37            262.77           1392.19         100            950.85            965.74            978.71

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.24              0.36              3.47        1000              2.18              2.41              3.10
2                       2.21              0.37              3.36        1000              2.16              2.47              2.74
4                       2.12              0.34              3.24        1000              2.06              2.27              3.06
8                       2.00              0.30              3.04        1000              1.93              2.26              2.45
16                      1.88              0.28              2.89        1000              1.84              2.01              2.62
32                      2.70              0.29              4.52        1000              2.63              3.32              4.76
64                      2.29              0.28              3.81        1000              2.21              2.59              2.82
128                     3.41              0.41              5.86        1000              3.34              3.66              5.30
256                     3.43              0.42              5.88        1000              3.34              3.73              6.10
512                     3.74              0.38              6.55        1000              3.69              4.11              4.97
1024                    4.34              0.54              7.45        1000              4.26              4.75              6.18
2048                    5.82              0.63             10.22        1000              5.80              6.25              6.69
4096                    7.97              1.20             13.79        1000              7.94              8.40              9.79
8192                   12.86              1.93             22.04        1000             12.84             13.43             15.17
16384                  25.64              7.30             37.75         100             25.47             26.96             28.61
32768                  41.20             11.51             60.38         100             41.04             42.59             44.74
65536                  71.37             19.55            104.56         100             71.09             74.17             78.19
131072                135.01             37.42            197.01         100            134.47            139.18            141.74
262144                258.19             71.41            376.21         100            257.23            264.12            265.90
524288                497.77            131.60            730.85         100            497.29            506.20            508.12
1048576               945.16            260.64           1383.59         100            947.12            968.16            969.27

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.37              0.38              3.60        1000              2.24              2.51              3.29
2                       2.20              0.35              3.35        1000              2.15              2.46              3.05
4                       2.06              0.31              3.15        1000              2.01              2.23              2.71
8                       1.96              0.30              3.00        1000              1.91              2.12              2.34
16                      1.86              0.29              2.80        1000              1.82              2.01              2.28
32                      2.48              0.31              4.11        1000              2.38              3.04              3.45
64                      2.27              0.29              3.79        1000              2.21              2.58              2.94
128                     3.45              0.42              5.87        1000              3.38              3.75              5.28
256                     3.46              0.42              5.93        1000              3.38              3.73              5.32
512                     3.80              0.41              6.61        1000              3.73              4.17              5.82
1024                    4.39              0.59              7.51        1000              4.31              4.76              6.82
2048                    5.92              0.67             10.35        1000              5.86              6.38              7.01
4096                    8.03              1.23             13.81        1000              7.97              8.60              9.79
8192                   13.16              1.99             22.63        1000             13.12             13.68             16.27
16384                  25.22              6.98             37.19         100             25.08             26.24             28.78
32768                  41.36             11.52             60.27         100             41.27             42.56             44.97
65536                  70.72             19.53            103.32         100             70.35             73.58             75.76
131072                133.91             38.13            194.04         100            133.28            138.81            139.93
262144                258.30             72.41            374.69         100            257.82            262.97            265.99
524288                496.16            132.36            723.86         100            495.58            501.54            506.10
1048576               949.98            262.97           1387.16         100            950.48            963.46            973.87

Procs: 8

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       3.51              0.52              6.11        1000              3.40              4.02              5.24
2                       3.37              0.47              5.97        1000              3.25              3.49              3.78
4                       3.11              0.42              5.54        1000              3.00              3.30              6.89
8                       2.84              0.37              5.07        1000              2.77              3.03              5.74
16                      2.70              0.35              4.81        1000              2.62              2.91              5.00
32                      3.65              0.32              6.71        1000              3.48              4.54              7.43
