


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Iter: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.37              0.16              0.48         100              0.35              0.48              0.49
4                       0.37              0.15              0.51         100              0.35              0.44              0.54
8                       0.38              0.17              0.49         100              0.35              0.48              0.49
16                      0.39              0.15              0.53         100              0.37              0.45              0.57
32                      0.40              0.21              0.47         100              0.35              0.83              0.91
64                      0.39              0.19              0.51         100              0.35              0.55              0.61
128                     0.74              0.55              0.90         100              0.74              0.92              0.98
256                     0.77              0.59              0.87         100              0.75              0.97              1.02
512                     0.94              0.72              1.05         100              0.91              1.17              1.22
1024                    1.05              0.73              1.26         100              1.06              1.23              1.34
2048                    1.67              1.12              2.08         100              1.64              1.93              2.07
4096                    3.01              2.28              3.56         100              2.98              3.28              3.56
8192                    4.69              0.81              7.39         100              4.66              4.98              5.14
16384                  10.07              9.10             11.03         100              8.10              8.98             11.29
32768                  10.64              9.96             11.55         100             10.34             12.41             13.92
65536                  17.57             17.14             18.50         100             17.81             21.07             25.31
131072                 33.81             32.58             35.87         100             37.20             53.87             56.73
262144                 92.57             89.98             96.88         100             90.67            119.24            126.38
524288                192.86            190.29            196.16         100            193.45            222.27            230.96
1048576               375.51            216.75            449.89         100            369.07            390.16            577.24

Iter: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.14              0.49        1000              0.35              0.42              0.50
2                       0.37              0.15              0.49        1000              0.35              0.43              0.56
4                       0.37              0.15              0.49        1000              0.35              0.42              0.56
8                       0.37              0.17              0.48        1000              0.35              0.46              0.56
16                      0.38              0.16              0.51        1000              0.36              0.47              0.53
32                      0.38              0.18              0.52        1000              0.37              0.47              0.57
64                      0.37              0.15              0.49        1000              0.35              0.45              0.51
128                     0.72              0.48              0.83        1000              0.69              0.86              0.97
256                     0.77              0.58              0.86        1000              0.75              0.91              1.03
512                     0.92              0.63              1.10        1000              0.91              1.10              1.15
1024                    0.99              0.62              1.25        1000              0.95              1.20              1.26
2048                    1.69              1.15              2.14        1000              1.68              1.93              2.12
4096                    2.77              1.99              3.41        1000              2.62              3.06              3.25
8192                    4.30              0.80              6.75        1000              4.26              4.60              4.84
16384                   8.49              8.04              9.45        1000              7.90             11.09             12.73
32768                  11.16             10.77             12.10        1000             11.18             14.25             16.18
65536                  18.27             17.60             19.47        1000             18.63             24.29             26.71
131072                 35.73             34.91             37.76        1000             37.17             49.54             52.81
262144                 91.86             89.42             94.69        1000             94.23            114.66            118.29
524288                165.89            164.34            169.58        1000            170.88            221.43            231.79
1048576               379.33            218.06            454.76        1000            370.28            395.02            589.21

Iter: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
